paper_key,doi,title,source_api,client,client_label,attempt_order,status,elapsed_ms,is_error
doi:10.1016/j.biochi.2022.07.019,10.1016/j.biochi.2022.07.019,Structure and function of prodrug-activating peptidases.,europe_pmc,elsevier,Elsevier,1,success,1110.0,False
doi:10.1016/j.biochi.2022.07.019,10.1016/j.biochi.2022.07.019,Structure and function of prodrug-activating peptidases.,europe_pmc,europe_pmc,Europe PMC,2,not_attempted_after_success,,
doi:10.1016/j.biochi.2022.07.019,10.1016/j.biochi.2022.07.019,Structure and function of prodrug-activating peptidases.,europe_pmc,pmc,PMC,3,not_attempted_after_success,,
doi:10.1016/j.biochi.2022.07.019,10.1016/j.biochi.2022.07.019,Structure and function of prodrug-activating peptidases.,europe_pmc,semantic_scholar,Semantic Scholar,4,not_attempted_after_success,,
doi:10.1016/j.biochi.2022.07.019,10.1016/j.biochi.2022.07.019,Structure and function of prodrug-activating peptidases.,europe_pmc,unpaywall,Unpaywall,5,not_attempted_after_success,,
doi:10.1016/j.biochi.2022.07.019,10.1016/j.biochi.2022.07.019,Structure and function of prodrug-activating peptidases.,europe_pmc,openalex,OpenAlex,6,not_attempted_after_success,,
doi:10.7554/elife.84669,10.7554/elife.84669,Structure-function analysis of Lactiplantibacillus plantarum DltE reveals D-alanylated lipoteichoic acids as direct cues supporting Drosophila juvenile growth.,europe_pmc,elsevier,Elsevier,1,attempted_before_success_unlogged,,
doi:10.7554/elife.84669,10.7554/elife.84669,Structure-function analysis of Lactiplantibacillus plantarum DltE reveals D-alanylated lipoteichoic acids as direct cues supporting Drosophila juvenile growth.,europe_pmc,europe_pmc,Europe PMC,2,success,859.0,False
doi:10.7554/elife.84669,10.7554/elife.84669,Structure-function analysis of Lactiplantibacillus plantarum DltE reveals D-alanylated lipoteichoic acids as direct cues supporting Drosophila juvenile growth.,europe_pmc,pmc,PMC,3,not_attempted_after_success,,
doi:10.7554/elife.84669,10.7554/elife.84669,Structure-function analysis of Lactiplantibacillus plantarum DltE reveals D-alanylated lipoteichoic acids as direct cues supporting Drosophila juvenile growth.,europe_pmc,semantic_scholar,Semantic Scholar,4,not_attempted_after_success,,
doi:10.7554/elife.84669,10.7554/elife.84669,Structure-function analysis of Lactiplantibacillus plantarum DltE reveals D-alanylated lipoteichoic acids as direct cues supporting Drosophila juvenile growth.,europe_pmc,unpaywall,Unpaywall,5,not_attempted_after_success,,
doi:10.7554/elife.84669,10.7554/elife.84669,Structure-function analysis of Lactiplantibacillus plantarum DltE reveals D-alanylated lipoteichoic acids as direct cues supporting Drosophila juvenile growth.,europe_pmc,openalex,OpenAlex,6,not_attempted_after_success,,
